apartment_number,room_number,x_center,y_center,z_center,n_windowarea,e_windowarea,s_windowarea,w_windowarea,9am_mean_fraction_body_sunlight_exposure,9am_mean_indoor_mrt,9am_working_mean_pmv,9am_cooking_mean_pmv,9am_sleeping_mean_pmv,9am_sitting_mean_pmv,12pm_mean_fraction_body_sunlight_exposure,12pm_mean_indoor_mrt,12pm_working_mean_pmv,12pm_cooking_mean_pmv,12pm_sleeping_mean_pmv,12pm_sitting_mean_pmv,3pm_mean_fraction_body_sunlight_exposure,3pm_mean_indoor_mrt,3pm_working_mean_pmv,3pm_cooking_mean_pmv,3pm_sleeping_mean_pmv,3pm_sitting_mean_pmv,6pm_mean_fraction_body_sunlight_exposure,6pm_mean_indoor_mrt,6pm_working_mean_pmv,6pm_cooking_mean_pmv,6pm_sleeping_mean_pmv,6pm_sitting_mean_pmv,9pm_mean_fraction_body_sunlight_exposure,9pm_mean_indoor_mrt,9pm_working_mean_pmv,9pm_cooking_mean_pmv,9pm_sleeping_mean_pmv,9pm_sitting_mean_pmv
59,0,-37.708038,17.376091,3,0,0,0,0,0.083333,23.148381,-0.504138,0.599988,-2.115677,-0.806196,0.027778,22.851739,-0.664432,0.491005,-2.355834,-0.982447,0,22.890896,-0.709802,0.458642,-2.426064,-1.031859,0,22.567479,-0.740489,0.440976,-2.467654,-1.066586,0,22,-0.733488,0.453381,-2.448181,-1.060938
59,1,-37.708038,14.376091,3,0,0,3.5,2.292003,0,23.102045,-0.509094,0.596438,-2.12424,-0.811546,0.111111,24.275939,-0.473978,0.607248,-2.086595,-0.769616,0.194444,25.153527,-0.40825,0.643076,-1.998024,-0.695116,0.416667,25.513022,-0.350086,0.681056,-1.91047,-0.630362,0,22,-0.733488,0.453381,-2.448181,-1.060938
59,2,-40.708038,17.376091,3,0,0,3.5,3.5,0,23.358531,-0.474566,0.617404,-2.075642,-0.773037,0.111111,24.634826,-0.425928,0.636651,-2.018206,-0.716095,0.222222,25.788802,-0.323214,0.69499,-1.877742,-0.600175,0.555556,26.552301,-0.212109,0.765787,-1.713634,-0.476317,0,22,-0.733488,0.453381,-2.448181,-1.060938
59,3,-37.708038,20.376091,3,0,0,0,2.292003,0,22.58841,-0.578241,0.554506,-2.221325,-0.888975,0,22.823331,-0.667766,0.488759,-2.361095,-0.986202,0.083333,23.568096,-0.61983,0.513715,-2.298103,-0.931306,0.416667,24.902711,-0.431501,0.631741,-2.024098,-0.721564,0,22,-0.733488,0.453381,-2.448181,-1.060938
60,0,-37.708038,62.376091,3,0,0,0,0,0.083333,22.93665,-0.532464,0.582945,-2.155436,-0.837942,0.027778,22.555475,-0.704122,0.466964,-2.411568,-1.026931,0,22.495932,-0.762789,0.426343,-2.500442,-1.091241,0,22.315896,-0.774163,0.420717,-2.514928,-1.104326,0,22,-0.733488,0.453381,-2.448181,-1.060938
60,1,-37.708038,59.376091,3,0,0,0,2.292003,0,22.317468,-0.614539,0.532597,-2.272286,-0.929655,0,22.444216,-0.718647,0.458025,-2.432539,-1.043125,0.083333,23.062676,-0.687647,0.472649,-2.393148,-1.007294,0.416667,24.580772,-0.474431,0.605847,-2.084193,-0.769667,0,22,-0.733488,0.453381,-2.448181,-1.060938
60,2,-40.708038,62.376091,3,0,0,3.5,3.5,0,23.027646,-0.519115,0.590386,-2.138308,-0.822828,0.111111,24.171837,-0.488151,0.598741,-2.106011,-0.785538,0.222222,25.171566,-0.405943,0.644434,-1.994903,-0.692487,0.555556,26.159137,-0.264728,0.733882,-1.787219,-0.535117,0,22,-0.733488,0.453381,-2.448181,-1.060938
61,0,-31.708038,35.376091,3,0,0,0,0,0,22.181235,-0.632798,0.521543,-2.297917,-0.950117,0,22.253592,-0.744247,0.442508,-2.468476,-1.071811,0,22.338077,-0.783938,0.413572,-2.530134,-1.114943,0.055556,22.509153,-0.7487,0.436647,-2.477818,-1.075954,0,22,-0.733488,0.453381,-2.448181,-1.060938
61,1,-31.708038,38.376091,3,0,2.292003,0,0,0.333333,24.929741,-0.267961,0.745187,-1.779197,-0.542319,0.083333,22.895435,-0.659115,0.494746,-2.347231,-0.976669,0,22.459946,-0.767504,0.4236,-2.507062,-1.09653,0,22.292974,-0.777185,0.418946,-2.519171,-1.107713,0,22,-0.733488,0.453381,-2.448181,-1.060938
61,2,-28.708038,35.376091,3,3.5,3.5,0,0,0.444444,26.449293,-0.065158,0.868798,-1.492973,-0.315425,0.111111,23.953665,-0.517278,0.580818,-2.147824,-0.81783,0,23.626126,-0.611066,0.518791,-2.286084,-0.921852,0,23.035801,-0.677376,0.479349,-2.379035,-0.995979,0,22,-0.733488,0.453381,-2.448181,-1.060938
